"","mpid","HMAX","LMAX","IPRmax","HMIN","LMIN","IPRmin","HMEAN","LMEAN","IPRmean","SumMAX","SumMEAN"
"1","mp-1019508",0.97942534,0.650391303,0.97942534,0,0,0,0.4972480755,0.18383345275,0.4972480755,1.017959939,0.68108152825
"2","mp-1025185",0.950391536,0.95201936,0.95201936,0,0,0,0.61838074425,0.375794531,0.61838074425,1.667390706,0.99417527525
"3","mp-10378",0.171555611,0.879197476,0.879197476,-0.043204061,0,-0.043204061,0.0715865573333333,0.314188000666667,0.314188000666667,1.050753087,0.385774558
"4","mp-10748",0.804896784,0.910528378,0.910528378,0,0,0,0.534755516,0.391373538,0.534755516,1.45971552,0.926129054
"5","mp-1078250",0.735984877,0.831240789,0.831240789,-0.49553298,0,-0.49553298,0.3646169466,0.2935176194,0.3646169466,1.154705545,0.658134566
"6","mp-1080232",0.962024011,0.951475629,0.962024011,0,0,0,0.6236212755,0.419734606,0.6236212755,1.563240333,1.0433558815
"7","mp-10953",0.961721824,0.047958541,0.961721824,0,0,0,0.30992000625,0.025368155,0.30992000625,1.000365721,0.33528816125
"8","mp-1096997",0.088812113,0.660963741,0.660963741,0,0,0,0.038072541,0.323108244666667,0.323108244666667,0.686369251,0.361180785666667
"9","mp-1103709",0.98144043,0.977036988,0.98144043,0,0,0,0.6438924352,0.491308209,0.6438924352,1.616939621,1.1352006442
"10","mp-1104268",0.991080412,0.955578198,0.991080412,0,0,0,0.47028621875,0.4568172145,0.47028621875,1.586849734,0.92710343325
"11","mp-1106183",0.985654503,0.983522388,0.985654503,0,0,0,0.61600300875,0.30653053125,0.61600300875,1.477254362,0.92253354
"12","mp-1111110",0.972690153,0.737395832,0.972690153,0,0,0,0.6572649692,0.381504441,0.6572649692,1.437357578,1.0387694102
"13","mp-1120768",0.028693194,0.071096206,0.071096206,0,0,0,0.01648615475,0.03883719725,0.03883719725,0.0997894,0.055323352
"14","mp-11695",0.728459956,0.29453921,0.728459956,-0.221121405,0,-0.221121405,0.398784071,0.10655116025,0.398784071,0.85159779,0.50533523125
"15","mp-1188344",0.977374683,0.954358679,0.977374683,0,0,0,0.71379733425,0.28738761975,0.71379733425,1.859893476,1.001184954
"16","mp-1190",0.695747797,0.09787379,0.695747797,0,0,0,0.298126257,0.0423871573333333,0.298126257,0.793621587,0.340513414333333
"17","mp-1206444",0.897717426,0.94036004,0.94036004,0,0,0,0.5957832465,0.45186811325,0.5957832465,1.692242171,1.04765135975
"18","mp-1209286",0.988299768,0.98694313,0.988299768,0,-0.002155798,-0.002155798,0.55270931,0.25495004575,0.55270931,1.247385463,0.80765935575
"19","mp-1209499",0.991922232,0.153177661,0.991922232,0,-0.006673578,-0.006673578,0.55546938275,0.0736319605,0.55546938275,1.126598835,0.62910134325
"20","mp-1213706",0.945453792,0.969976817,0.969976817,0,-0.128042122,-0.128042122,0.4924828425,0.297840527,0.4924828425,1.257298702,0.7903233695
"21","mp-1214228",0.990298765,0.946987855,0.990298765,0,0,0,0.662881699,0.5230122852,0.662881699,1.63980198,1.1858939842
"22","mp-1214420",0.979977884,0.978771438,0.979977884,0,-0.056436258,-0.056436258,0.5616687975,0.30187995875,0.5616687975,1.277674498,0.86354875625
"23","mp-1222404",0.110325596,0.734723948,0.734723948,0,-0.003708857,-0.003708857,0.060626727125,0.21532847425,0.21532847425,0.788900381,0.275955201375
"25","mp-1226455",0.967240113,0.976337858,0.976337858,0,0,0,0.74390519,0.279901102,0.74390519,1.863901079,1.023806292
"26","mp-1265",0.71861676,0.777413499,0.777413499,0,0,0,0.257617634666667,0.267713597666667,0.267713597666667,0.831649643,0.525331232333333
"27","mp-12927",0.939848869,0.951581494,0.951581494,0,0,0,0.25637969825,0.248858023,0.25637969825,0.983700587,0.50523772125
"28","mp-13820",0.979486628,0.974120092,0.979486628,-0.126762845,0,-0.126762845,0.4899304645,0.27763591475,0.4899304645,1.827592477,0.76756637925
"29","mp-14168",0.992630655,0.987955204,0.992630655,0,0,0,0.6683256505,0.4847549705,0.6683256505,1.702057331,1.153080621
