Length of dataset:  36837
2021-06-12 14:12:11.029474
Cuda enabled:  True
{'root_dir': 'data/test/', 'save_dir': 'data/test/results_3_prop/0/', 'disable_cuda': False, 'workers': 0, 'epochs': 2, 'start_epoch': 0, 'batch_size': 10, 'lr': 0.01, 'lr_milestones': [200, 400, 600, 800], 'momentum': 0.9, 'weight_decay': 0, 'print_freq': 10, 'resume': '', 'train_size': 22102, 'val_size': 7367, 'test_size': 7368, 'optimizer': 'Adam', 'atom_fea_len': 64, 'h_fea_len': 32, 'n_conv': 1, 'n_hp': 1, 'scheduler': 'MultiStepLR', 'metric': 'rmse', 'seed': 887, 'weights': None, 'dropout': 0, 'cuda': True}
Loading datasets...
Predicting  3  properties!!
Epoch: [0][0/2211]	Time 1.221 (1.221)	Data 1.195 (1.195)	Loss 1.2940 (1.2940)	ERR 1.136 (1.136)
Epoch: [0][10/2211]	Time 1.039 (0.901)	Data 1.026 (0.888)	Loss 1.9067 (0.7962)	ERR 1.371 (0.853)
Epoch: [0][20/2211]	Time 1.328 (0.891)	Data 1.316 (0.877)	Loss 0.3541 (0.6750)	ERR 0.572 (0.784)
Epoch: [0][30/2211]	Time 0.733 (0.873)	Data 0.718 (0.859)	Loss 0.5139 (0.6521)	ERR 0.716 (0.768)
Epoch: [0][40/2211]	Time 1.066 (0.885)	Data 1.048 (0.871)	Loss 0.3579 (0.6349)	ERR 0.597 (0.761)
Epoch: [0][50/2211]	Time 1.021 (0.900)	Data 1.008 (0.885)	Loss 0.5612 (0.5964)	ERR 0.748 (0.739)
Epoch: [0][60/2211]	Time 0.922 (0.910)	Data 0.907 (0.895)	Loss 0.4583 (0.5871)	ERR 0.653 (0.732)
Epoch: [0][70/2211]	Time 0.862 (0.905)	Data 0.850 (0.891)	Loss 0.3663 (0.5751)	ERR 0.604 (0.727)
Epoch: [0][80/2211]	Time 1.025 (0.902)	Data 1.014 (0.888)	Loss 0.4830 (0.5713)	ERR 0.678 (0.723)
Epoch: [0][90/2211]	Time 0.969 (0.925)	Data 0.957 (0.911)	Loss 0.8334 (0.5686)	ERR 0.911 (0.721)
Epoch: [0][100/2211]	Time 0.812 (0.986)	Data 0.795 (0.972)	Loss 0.3961 (0.5674)	ERR 0.627 (0.721)
